# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.04%  wrk      [kernel.kallsyms]     [k] ip_rcv_finish_core.isra.0                                [k] ip_rcv_finish_core.isra.0                                -                 
     0.04%  wrk      [kernel.kallsyms]     [k] vxlan_build_skb                                          [k] vxlan_build_skb                                          -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __nf_ct_refresh_acct                                     [k] __nf_ct_refresh_acct                                     -                 
     0.04%  wrk      [kernel.kallsyms]     [k] iptable_mangle_hook                                      [k] iptable_mangle_hook                                      -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] iptable_mangle_hook                                      -                 
     0.04%  wrk      wrk                   [k] aeDeleteFileEvent                                        [k] aeDeleteFileEvent                                        -                 
     0.04%  wrk      libc-2.31.so          [.] _int_malloc                                              [.] default_tzdir.7509+0x10                                  -                 
     0.04%  wrk      libc-2.31.so          [.] __strncat_ssse3                                          [.] tcache_init.part.0                                       -                 
     0.04%  wrk      [kernel.kallsyms]     [k] fput                                                     [k] fput_many                                                -                 
     0.04%  wrk      [unknown]             [k] 0000000000000000                                         [k] 0000000000000000                                         -                 
     0.04%  wrk      [kernel.kallsyms]     [k] kmem_cache_alloc                                         [k] kmem_cache_alloc                                         -                 
     0.04%  wrk      wrk                   [.] lj_ff_tostring                                           [.] lj_ff_tostring                                           -                 
     0.04%  wrk      [kernel.kallsyms]     [k] mod_timer                                                [k] mod_timer                                                -                 
     0.04%  wrk      [kernel.kallsyms]     [k] br_nf_hook_thresh                                        [k] br_nf_hook_thresh                                        -                 
     0.04%  wrk      [kernel.kallsyms]     [k] net_rx_action                                            [k] net_rx_action                                            -                 
     0.04%  wrk      [kernel.kallsyms]     [k] ep_send_events_proc                                      [k] ep_send_events_proc                                      -                 
     0.04%  wrk      libc-2.31.so          [.] __tzfile_read                                            [.] _int_malloc                                              -                 
     0.04%  wrk      libc-2.31.so          [.] tcache_init.part.0                                       [.] __strncat_ssse3                                          -                 
     0.04%  wrk      wrk                   [.] lj_alloc_realloc                                         [.] lj_alloc_realloc                                         -                 
     0.04%  wrk      libc-2.31.so          [.] _int_memalign                                            [.] _int_malloc                                              -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __update_load_avg_cfs_rq                                 [k] __update_load_avg_cfs_rq                                 -                 
     0.04%  wrk      [kernel.kallsyms]     [.] prepare_exit_to_usermode                                 [.] fpregs_assert_state_consistent                           -                 
     0.04%  wrk      [kernel.kallsyms]     [.] retint_user                                              [.] prepare_exit_to_usermode                                 -                 
     0.04%  wrk      [kernel.kallsyms]     [.] fpregs_assert_state_consistent                           [.] prepare_exit_to_usermode                                 -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __local_bh_enable_ip                                     [k] ipt_do_table                                             -                 
     0.03%  wrk      [kernel.kallsyms]     [.] prepare_exit_to_usermode                                 [.] swapgs_restore_regs_and_return_to_usermode               -                 
     0.03%  wrk      [kernel.kallsyms]     [.] swapgs_restore_regs_and_return_to_usermode               [.] native_iret                                              -                 
     0.03%  wrk      [kernel.kallsyms]     [k] map_id_range_down                                        [k] map_id_range_down                                        -                 
     0.03%  wrk      libc-2.31.so          [.] __resolv_context_get                                     [.] __strncat_ssse3                                          -                 
     0.03%  wrk      [kernel.kallsyms]     [k] vfs_write                                                [k] vfs_write                                                -                 
     0.03%  wrk      [kernel.kallsyms]     [k] br_nf_forward_ip                                         [k] br_nf_forward_ip                                         -                 
     0.03%  wrk      [kernel.kallsyms]     [k] tcp_state_transition                                     [k] tcp_state_transition                                     -                 
     0.03%  wrk      wrk                   [.] aeCreateFileEvent                                        [.] aeCreateFileEvent                                        -                 
     0.03%  wrk      [kernel.kallsyms]     [k] iptable_mangle_hook                                      [k] ipt_do_table                                             -                 
     0.03%  wrk      [kernel.kallsyms]     [k] __inet_dev_addr_type.isra.0                              [k] __inet_dev_addr_type.isra.0                              -                 
     0.03%  wrk      [kernel.kallsyms]     [k] dma_direct_map_page                                      [k] dma_direct_map_page                                      -                 
     0.03%  wrk      libc-2.31.so          [.] strxfrm_l                                                [.] _int_malloc                                              -                 
     0.03%  wrk      [kernel.kallsyms]     [.] irq_exit                                                 [.] smp_apic_timer_interrupt                                 -                 
     0.03%  wrk      [kernel.kallsyms]     [k] validate_xmit_xfrm                                       [k] validate_xmit_skb                                        -                 
     0.03%  wrk      [kernel.kallsyms]     [.] smp_apic_timer_interrupt                                 [.] apic_timer_interrupt                                     -                 
     0.03%  wrk      [kernel.kallsyms]     [.] apic_timer_interrupt                                     [.] ret_from_intr                                            -                 
     0.03%  wrk      [kernel.kallsyms]     [k] enqueue_to_backlog                                       [k] enqueue_to_backlog                                       -                 
     0.03%  wrk      [kernel.kallsyms]     [k] validate_xmit_skb                                        [k] validate_xmit_xfrm                                       -                 
     0.03%  wrk      [kernel.kallsyms]     [.] idle_cpu                                                 [.] irq_exit                                                 -                 
