# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_pid_type                                      [k] __task_pid_nr_ns                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_pid_type                                      [k] perf_event_pid_type                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __perf_event_header__init_id.isra.0                      [k] perf_event_pid_type                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __perf_event_header__init_id.isra.0                      [k] __perf_event_header__init_id.isra.0                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __perf_event_header__init_id.isra.0                      [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_iterate_ctx                                         [k] __x86_indirect_thunk_r15                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_mmap_output                                   [k] __perf_event_header__init_id.isra.0                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] delayed_uprobe_remove.part.0                             [k] delayed_uprobe_remove.part.0                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] delayed_uprobe_remove.part.0                             [k] uprobe_clear_state                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uprobe_clear_state                                       [k] mmput                                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uprobe_clear_state                                       [k] delayed_uprobe_remove.part.0                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uprobe_clear_state                                       [k] uprobe_clear_state                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uprobe_clear_state                                       [k] mutex_unlock                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unlock_page                                              [k] filemap_map_pages                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] end_page_writeback                                       [k] end_page_writeback                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] end_page_writeback                                       [k] ext4_finish_bio                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] filemap_map_pages                                        [k] unlock_page                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] filemap_map_pages                                        [k] alloc_set_pte                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] filemap_map_pages                                        [k] PageHuge                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mempool_free                                             [k] bvec_free                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mempool_free                                             [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mempool_free_slab                                        [k] mempool_free                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mempool_free_slab                                        [k] kmem_cache_free                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] test_clear_page_writeback                                [k] end_page_writeback                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] test_clear_page_writeback                                [k] test_clear_page_writeback                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] test_clear_page_writeback                                [k] dec_zone_page_state                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] test_clear_page_writeback                                [k] inc_node_page_state                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] test_clear_page_writeback                                [k] __unlock_page_memcg                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] release_pages                                            [k] __mod_lruvec_state                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] release_pages                                            [k] mem_cgroup_page_lruvec                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] lru_cache_add_active_or_unevictable                      [k] __lru_cache_add                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dec_zone_page_state                                      [k] test_clear_page_writeback                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_zone_page_state                                    [k] rmqueue                                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_node_page_state                                    [k] __mod_lruvec_state                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] inc_node_page_state                                      [k] test_clear_page_writeback                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __dec_node_state                                         [k] __dec_node_page_state                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __dec_node_page_state                                    [k] __dec_node_state                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __dec_node_page_state                                    [k] page_remove_rmap                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] should_failslab                                          [k] __kmalloc_track_caller                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __krealloc                                               [k] __krealloc                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __krealloc                                               [k] __kmalloc_track_caller                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kmalloc_slab                                             [k] __kmalloc_track_caller                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_interval_tree_remove                                 [k] __vma_adjust                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] anon_vma_interval_tree_remove                            [k] __vma_adjust                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] anon_vma_interval_tree_remove                            [k] rb_next                                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_do_fput                                              [k] fput                                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] free_pgtables                                            [k] unlink_file_vma                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] lru_cache_add_active_or_unevictable                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] page_add_new_anon_rmap                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] alloc_pages_vma                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] mem_cgroup_try_charge_delay                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] mem_cgroup_commit_charge                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_anonymous_page                                        [k] _raw_spin_lock                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vm_normal_page                                           [k] zap_pte_range.isra.0                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] zap_pte_range.isra.0                                     [k] vm_normal_page                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] zap_pte_range.isra.0                                     [k] __tlb_remove_page_size                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] zap_pte_range.isra.0                                     [k] page_remove_rmap                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_set_pte                                            [k] filemap_map_pages                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_set_pte                                            [k] page_add_file_rmap                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_mm_fault                                        [k] pmd_devmap_trans_unstable                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_mm_fault                                        [k] do_anonymous_page                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_mm_fault                                        [k] do_fault                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] handle_mm_fault                                          [k] __handle_mm_fault                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] handle_mm_fault                                          [k] mem_cgroup_from_task                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __remove_shared_vm_struct                                [k] vma_interval_tree_remove                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unmap_region                                             [k] __do_munmap                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] find_vma                                                 [k] do_user_addr_fault                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] remove_vma                                               [k] vma_do_fput                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] remove_vma                                               [k] remove_vma                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] remove_vma                                               [k] _cond_resched                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unlink_file_vma                                          [k] __remove_shared_vm_struct                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unlink_file_vma                                          [k] down_write                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __vma_adjust                                             [k] vma_interval_tree_insert                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __vma_adjust                                             [k] anon_vma_interval_tree_remove                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __vma_adjust                                             [k] vma_adjust_trans_huge                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_merge                                                [k] mmap_region                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __split_vma                                              [k] __vma_adjust                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __split_vma                                              [k] anon_vma_clone                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __split_vma                                              [k] vma_dup_policy                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __do_munmap                                              [k] remove_vma                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] exit_mmap                                                [k] ldt_arch_exit_mmap                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] exit_mmap                                                [k] exit_mmap                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] may_expand_vm                                            [k] mmap_region                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mmap_region                                              [k] vm_area_alloc                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mmap_region                                              [k] vma_merge                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __tlb_remove_page_size                                   [k] zap_pte_range.isra.0                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tlb_finish_mmu                                           [k] unmap_region                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __page_set_anon_rmap                                     [k] page_add_new_anon_rmap                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_add_new_anon_rmap                                   [k] do_anonymous_page                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_add_file_rmap                                       [k] page_add_file_rmap                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_add_file_rmap                                       [k] lock_page_memcg                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_remove_rmap                                         [k] __dec_node_page_state                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_remove_rmap                                         [k] zap_pte_range.isra.0                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] anon_vma_clone                                           [k] __split_vma                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] should_fail_alloc_page                                   [k] __alloc_pages_nodemask                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __alloc_pages_nodemask                                   [k] _cond_resched                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] PageHuge                                                 [k] filemap_map_pages                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] PageHuge                                                 [k] PageHuge                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] policy_node                                              [k] alloc_pages_current                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] get_vma_policy.part.0                                    [k] get_task_policy.part.0                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] get_vma_policy.part.0                                    [k] get_vma_policy.part.0                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_pages_current                                      [k] __alloc_pages_nodemask                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __get_vma_policy                                         [k] alloc_pages_vma                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_pages_vma                                          [k] do_anonymous_page                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_pages_vma                                          [k] get_vma_policy.part.0                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_pages_vma                                          [k] __get_vma_policy                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_dup_policy                                           [k] __split_vma                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_dup_policy                                           [k] vma_dup_policy                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unfreeze_partials.isra.0                                 [k] unfreeze_partials.isra.0                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] unfreeze_partials.isra.0                                 [k] _raw_spin_lock                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] put_cpu_partial                                          [k] unfreeze_partials.isra.0                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kmem_cache_free                                          [k] mempool_free_slab                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kmem_cache_free                                          [k] ext4_release_io_end                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __kmalloc_track_caller                                   [k] should_failslab                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __kmalloc_track_caller                                   [k] kmalloc_slab                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __kmalloc_track_caller                                   [k] memset                                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_adjust_trans_huge                                    [k] split_huge_pmd_address                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_counter_try_charge                                  [k] propagate_protected_usage                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] page_counter_try_charge                                  [k] try_charge                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] lock_page_memcg                                          [k] page_add_file_rmap                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] lock_page_memcg                                          [k] lock_page_memcg                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] memcg_check_events                                       [k] mem_cgroup_commit_charge                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_memcg_state                                        [k] mem_cgroup_charge_statistics                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_lruvec_state                                       [k] test_clear_page_writeback                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_lruvec_state                                       [k] __mod_node_page_state                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __mod_lruvec_state                                       [k] __mod_memcg_state                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __count_memcg_events                                     [k] mem_cgroup_charge_statistics                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_charge_statistics                             [k] __mod_memcg_state                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_charge_statistics                             [k] __count_memcg_events                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_charge_statistics                             [k] mem_cgroup_commit_charge                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] try_charge                                               [k] refill_stock                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_page_lruvec                                   [k] release_pages                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_update_lru_size                               [k] release_pages                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __unlock_page_memcg                                      [k] test_clear_page_writeback                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_try_charge                                    [k] get_mem_cgroup_from_mm                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_try_charge_delay                              [k] mem_cgroup_try_charge                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_commit_charge                                 [k] do_anonymous_page                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_commit_charge                                 [k] memcg_check_events                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mem_cgroup_commit_charge                                 [k] mem_cgroup_charge_statistics                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] install_exec_creds                                       [k] commit_creds                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] install_exec_creds                                       [k] install_exec_creds                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] install_exec_creds                                       [k] security_bprm_committed_creds                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] do_fcntl                                                 [k] do_fcntl                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [.] __x64_sys_fcntl                                          [.] do_syscall_64                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x64_sys_fcntl                                          [k] do_fcntl                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x64_sys_fcntl                                          [k] __fdget_raw                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x64_sys_fcntl                                          [k] security_file_fcntl                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dentry_free                                              [k] kmem_cache_free                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __dentry_kill                                            [k] dentry_free                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] inode_init_always                                        [k] __init_rwsem                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] inode_init_always                                        [k] alloc_inode                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] inode_init_always                                        [k] security_inode_alloc                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] alloc_inode                                              [k] new_inode_pseudo                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] new_inode_pseudo                                         [k] sock_alloc                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] new_inode_pseudo                                         [k] _raw_spin_lock                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __fget_light                                             [k] __fdget_raw                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __fdget_raw                                              [k] __x64_sys_fcntl                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __fdget_raw                                              [k] __fget_light                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ep_poll_callback                                         [k] ep_poll_callback                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ep_poll_callback                                         [k] _raw_read_lock_irqsave                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x64_sys_epoll_ctl                                      [k] ep_insert                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] exit_aio                                                 [k] mmput                                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] exit_aio                                                 [k] exit_aio                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_release_io_end                                      [k] kmem_cache_free                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_release_io_end                                      [k] ext4_release_io_end                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_release_io_end                                      [k] ext4_put_io_end_defer                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_put_io_end_defer                                    [k] ext4_release_io_end                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_put_io_end_defer                                    [k] ext4_put_io_end_defer                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_put_io_end_defer                                    [k] ext4_end_bio                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_end_bio                                             [k] ext4_finish_bio                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ext4_end_bio                                             [k] ext4_put_io_end_defer                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_sock_rcv_skb                                    [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_bprm_committed_creds                            [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_inode_alloc                                     [k] inode_init_always                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_file_fcntl                                      [k] __x64_sys_fcntl                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_file_fcntl                                      [k] security_file_fcntl                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] security_xfrm_decode_session                             [k] irq_entries_start                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bio_uninit                                               [k] bio_endio                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bvec_free                                                [k] bio_free                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bio_free                                                 [k] mempool_free                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bio_endio                                                [k] blk_update_request                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bio_endio                                                [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] blk_update_request                                       [k] scsi_end_request                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mq_flush_data_end_io                                     [k] blk_mq_put_tag                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __blk_mq_end_request                                     [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __rq_qos_done                                            [k] __blk_mq_end_request                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] wbt_rqw_done                                             [k] __wbt_done                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __wbt_done                                               [k] wbt_rqw_done                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __wbt_done                                               [k] wbt_done                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] wbt_done                                                 [k] __rq_qos_done                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] wbt_done                                                 [k] __wbt_done                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] wbt_done                                                 [k] wbt_done                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] find_first_bit                                           [k] try_to_wake_up                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] blake2s_update                                           [k] add_timer_randomness                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] acpi_os_read_memory                                      [k] apei_read                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] apei_read                                                [k] __ghes_peek_estatus.isra.0                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __ghes_peek_estatus.isra.0                               [k] ghes_copy_tofrom_phys                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ghes_notify_nmi                                          [k] ghes_notify_nmi                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] add_timer_randomness                                     [k] add_timer_randomness                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] add_timer_randomness                                     [k] _raw_spin_lock_irqsave                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] add_disk_randomness                                      [k] add_timer_randomness                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scsi_end_request                                         [k] add_disk_randomness                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scsi_end_request                                         [k] scsi_end_request                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uhci_check_ports                                         [k] uhci_check_ports                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uhci_check_ports                                         [k] uhci_hub_status_data                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uhci_scan_schedule.part.0                                [k] uhci_hub_status_data                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uhci_hub_status_data                                     [k] uhci_check_ports                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dbs_irq_work                                             [k] irq_work_run_list                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sys_connect                                            [k] fput                                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [.] __sys_connect                                            [.] __x64_sys_connect                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [.] __x64_sys_connect                                        [.] do_syscall_64                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_dst_check                                           [k] irq_entries_start                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sk_reset_timer                                           [k] tcp_connect                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] release_sock                                             [k] inet_stream_connect                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __alloc_skb                                              [k] __netdev_alloc_skb                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __build_skb                                              [k] build_skb                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] build_skb                                                [k] __build_skb                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] build_skb                                                [k] build_skb                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] build_skb                                                [k] bnx2_rx_int                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __netdev_alloc_skb                                       [k] bnx2_rx_int                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __kfree_skb                                              [k] tcp_clean_rtx_queue                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] skb_ensure_writable                                      [k] tcp_snat_handler                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] secure_ipv4_port_ephemeral                               [k] inet_hash_connect                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] secure_ipv4_port_ephemeral                               [k] siphash_2u64                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] gro_find_receive_by_type                                 [k] eth_gro_receive                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __napi_schedule                                          [k] gro_cells_receive                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] napi_complete_done                                       [k] bnx2_poll                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dst_release                                              [k] tcp_data_queue                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] gro_cells_receive                                        [k] __napi_schedule                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] gro_cells_receive                                        [k] vxlan_rcv                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] gro_cell_poll                                            [k] napi_gro_receive                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] eth_gro_receive                                          [k] gro_find_receive_by_type                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] eth_gro_receive                                          [k] csum_partial                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] eth_gro_receive                                          [k] vxlan_gro_receive                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sch_direct_xmit                                          [k] __qdisc_run                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] nf_hook_slow                                             [k] ip_forward                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] find_exception                                           [k] ip_route_input_slow                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_route_output_flow                                     [k] tcp_v4_connect                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_sublist_rcv_finish                                    [k] ip_sublist_rcv                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_sublist_rcv_finish                                    [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_rcv_finish_core.isra.0                                [k] ip_sublist_rcv                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_sublist_rcv                                           [k] ip_sublist_rcv_finish                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_sublist_rcv                                           [k] ip_list_rcv                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_local_deliver                                         [k] ip_sublist_rcv_finish                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_list_rcv                                              [k] __netif_receive_skb_list_core                            -                 
