# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.11%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              10                
     0.11%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              5                 
     0.11%  redis-server  redis-server          [.] epoch_ctl                                  [.] ctl_refresh                                3                 
     0.11%  redis-server  redis-server          [.] je_nstime_compare                          [.] ctl_arena_stats_sdmerge                    8                 
     0.11%  redis-server  libc-2.31.so          [k] __sysconf                                  [k] zmalloc_get_rss                            3                 
     0.11%  redis-server  libc-2.31.so          [.] 0x00007f7273a49e0f                         [.] epoll_wait                                 2                 
     0.11%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 43                
     0.11%  redis-server  [vdso]                [k] __vdso_gettimeofday                        [k] mstime                                     18                
     0.11%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.23        [k] intel_tfa_pmu_enable_all                   5                 
     0.11%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.23        [k] native_write_msr                           2                 
     0.11%  redis-server  [kernel.kallsyms]     [.] intel_tfa_pmu_enable_all                   [.] x86_pmu_enable                             1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_pebs_event                     [k] intel_pmu_drain_pebs_nhm                   3                 
     0.11%  redis-server  [kernel.kallsyms]     [k] intel_pmu_drain_pebs_nhm                   [k] intel_pmu_handle_irq                       10                
     0.11%  redis-server  [kernel.kallsyms]     [k] intel_pmu_lbr_enable_all                   [k] __intel_pmu_enable_all.constprop.23        15                
     0.11%  redis-server  [kernel.kallsyms]     [k] sched_clock                                [k] nmi_handle                                 1                 
     0.11%  redis-server  [kernel.kallsyms]     [.] rcu_all_qs                                 [.] _cond_resched                              3                 
     0.11%  redis-server  [kernel.kallsyms]     [k] __seccomp_filter                           [k] __secure_computing                         9                 
     0.11%  redis-server  [kernel.kallsyms]     [.] perf_pmu_sched_task                        [.] __perf_event_task_sched_in                 8                 
